Example ID,Category,Point,Type,Subtype,Example,Explanation
1,Personal Contact Information,"Full Names: First, middle, last names of customers or related individuals.",Positive,Direct,"Hi, I need to verify my account for the warranty claim. My full name is Robert Alan Johnson, please check the details.","Direct positive: Clearly states a full name (Robert Alan Johnson) in a straightforward manner during warranty verification, which if leaked could enable identity theft or fraud."
2,Personal Contact Information,"Full Names: First, middle, last names of customers or related individuals.",Positive,Direct,My profile isn't updating correctly. Can you confirm it's under Emily Grace Thompson for the recent order?,"Direct positive: Clearly states a full name (Emily Grace Thompson) in a straightforward manner during profile update, which if leaked could enable identity theft or fraud."
3,Personal Contact Information,"Full Names: First, middle, last names of customers or related individuals.",Positive,Typo,"Help, my account isnt working. My name is Robrt A lan Jh nson, fix it soon.","Typo positive: Contains a name with stronger typos and added spaces (Robrt A lan Jh nson) to stress regex patterns for name detection, leakage could lead to personal identification and privacy breaches."
4,Personal Contact Information,"Full Names: First, middle, last names of customers or related individuals.",Positive,Typo,"The order is wrong, update to Em ly Gra ce Thmp sn please, its urgent.","Typo positive: Contains a name with stronger typos and added spaces (Em ly Gra ce Thmp sn) to stress regex patterns for name detection, leakage could lead to personal identification and privacy breaches."
5,Personal Contact Information,"Full Names: First, middle, last names of customers or related individuals.",Positive,Contextual,"I already provided you with my name, how could you forget? It's the same as the 2020 MVP basketball winner from the Lakers, that famous player.","Contextual positive: Implies a personal name through a reference to a public figure in a frustrated account verification chat, without direct keywords; if leaked, could reveal identity through association leading to harassment or doxxing."
6,Personal Contact Information,"Full Names: First, middle, last names of customers or related individuals.",Positive,Contextual,"The refund will be requested by that famous unboxing influencer, I can't recall his name but he's the main figure in the unbox acme channel","Contextual positive: Implies a personal name through a reference to a local event winner in a product issue chat, without direct keywords; if leaked, could reveal identity through association leading to harassment or doxxing."
7,Personal Contact Information,"Full Names: First, middle, last names of customers or related individuals.",Negative,Direct,What's the name of the latest product model in your lineup? I'm interested in upgrading.,"Direct negative: Inquiry about product model name with no personal names mentioned, minimally relevant to naming but no sensitive data, no risk of identity exposure if leaked."
8,Personal Contact Information,"Full Names: First, middle, last names of customers or related individuals.",Negative,Direct,Can you explain the naming convention for your product series? It seems confusing.,"Direct negative: Inquiry about product naming convention with no personal names mentioned, minimally relevant to naming but no sensitive data, no risk of identity exposure if leaked."
9,Personal Contact Information,"Full Names: First, middle, last names of customers or related individuals.",Negative,Typo,Whts the nam of the nwst prdct mdl? Im intrstd in upgrdng.,"Typo negative: Non-sensitive question about product model name with heavy but readable typos, minimally relevant to naming but no PII present to trick parsing, no damage from leakage as it's generic."
10,Personal Contact Information,"Full Names: First, middle, last names of customers or related individuals.",Negative,Typo,Cn u expln the nming cnventn fr prdct sries? It sms cnfusng.,"Typo negative: Non-sensitive question about product naming with heavy but readable typos, minimally relevant to naming but no PII present to trick parsing, no damage from leakage as it's generic."
